epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.081,2.22118,2.28891,1.92337,0.41344,0.46566,0.35683,0.12774,2.29168,1.90712,1.89201,0.000657895,0.000657895,0.000657895
2,630.658,2.02505,1.76735,1.7545,0.43049,0.42553,0.36228,0.11181,2.40371,1.93758,1.98013,0.00129834,0.00129834,0.00129834
3,952.266,2.01304,1.71864,1.72395,0.5273,0.48824,0.47353,0.18216,2.06676,1.89079,1.74857,0.00191238,0.00191238,0.00191238
4,3109.51,1.96536,1.68458,1.71533,0.43719,0.51552,0.42792,0.16341,2.04189,2.27724,1.72701,0.0018812,0.0018812,0.0018812
5,7793.6,1.96583,1.68059,1.70909,0.47315,0.50611,0.45453,0.18557,1.94791,1.90998,1.64196,0.0018416,0.0018416,0.0018416
6,23931.9,1.95342,1.64206,1.69011,0.52297,0.52963,0.51967,0.20962,1.97754,1.7021,1.67049,0.001802,0.001802,0.001802
7,32079.9,1.93396,1.6181,1.67539,0.44345,0.48573,0.43291,0.16115,2.0449,2.25973,1.67639,0.0017624,0.0017624,0.0017624
8,32680.4,1.9069,1.57173,1.64859,0.53094,0.54909,0.5269,0.1952,2.07984,1.73,1.78056,0.0017228,0.0017228,0.0017228
